COD_EDO,EDO,COD_MUN,MUN,COD_PAR,PAR,CENTRO,MESA,VOTOS_VALIDOS,VOTOS_NULOS,EG,NM,LM,JABE,JOBR,AE,CF,DC,EM,BERA,URL,,,,,,
20,EDO. YARACUY,4,MP. SAN FELIPE,959,PQ. ALBARICO,200402019,1,193,0,73,113,1,1,0,1,0,0,2,2,https://static.resultadosconvzla.com/021223_335538_0865Acta0211.jpg,,,,,,
20,EDO. YARACUY,4,MP. SAN FELIPE,959,PQ. ALBARICO,200402021,1,402,0,211,184,4,1,2,0,0,0,0,0,https://static.resultadosconvzla.com/021223_336499_0869Acta0212.jpg,,,,,,
20,EDO. YARACUY,4,MP. SAN FELIPE,959,PQ. ALBARICO,200402023,1,180,0,91,84,4,0,1,0,0,0,0,0,https://static.resultadosconvzla.com/021223_997295_0863Acta0211.jpg,,,,,,
20,EDO. YARACUY,4,MP. SAN FELIPE,959,PQ. ALBARICO,200402025,1,440,0,209,215,3,0,5,2,0,1,0,5,https://static.resultadosconvzla.com/021223_367628_0861Acta0210.jpg,,,,,,
20,EDO. YARACUY,4,MP. SAN FELIPE,960,PQ. SAN JAVIER,200403001,1,461,0,227,219,4,1,0,1,2,1,2,4,https://static.resultadosconvzla.com/021223_475899_0215Acta0070.jpg,,,,,,
20,EDO. YARACUY,4,MP. SAN FELIPE,960,PQ. SAN JAVIER,200403001,2,480,0,269,199,4,1,2,1,0,0,3,1,https://static.resultadosconvzla.com/021223_570156_0208Acta0069.jpg,,,,,,
24,EDO. LA GUAIRA,1,MP. VARGAS,1142,PQ. CARLOS SOUBLETTE,240111018,1,536,1,317,207,5,1,0,2,0,1,2,1,https://static.resultadosconvzla.com/784821_233763_0132Acta0131.jpg,,,,,,
24,EDO. LA GUAIRA,1,MP. VARGAS,1142,PQ. CARLOS SOUBLETTE,240111018,2,482,0,288,178,4,0,2,6,0,1,1,2,https://static.resultadosconvzla.com/784821_893143_0133Acta0132.jpg,,,,,,
24,EDO. LA GUAIRA,1,MP. VARGAS,1142,PQ. CARLOS SOUBLETTE,240111020,1,579,0,365,204,3,0,2,1,0,0,2,2,https://static.resultadosconvzla.com/784821_007643_0134Acta0133.jpg,,,,,,
24,EDO. LA GUAIRA,1,MP. VARGAS,1142,PQ. CARLOS SOUBLETTE,240111022,1,207,0,125,73,1,0,0,4,0,0,1,3,https://static.resultadosconvzla.com/784821_149098_0135Acta0134.jpg,,,,,,
24,EDO. LA GUAIRA,1,MP. VARGAS,1142,PQ. CARLOS SOUBLETTE,240111023,1,428,0,248,172,0,0,2,2,0,2,1,1,https://static.resultadosconvzla.com/784821_521575_0166Acta0165.jpg,,,,,,
24,EDO. LA GUAIRA,1,MP. VARGAS,1142,PQ. CARLOS SOUBLETTE,240111024,1,349,0,227,111,3,1,1,2,0,0,2,2,https://static.resultadosconvzla.com/784821_412219_0136Acta0135.jpg,,,,,,
24,EDO. LA GUAIRA,1,MP. VARGAS,1142,PQ. CARLOS SOUBLETTE,240111025,1,336,0,205,123,3,0,1,2,1,0,0,1,https://static.resultadosconvzla.com/784821_444603_0165Acta0164.jpg,,,,,,
24,EDO. LA GUAIRA,1,MP. VARGAS,1142,PQ. CARLOS SOUBLETTE,240111026,1,418,0,212,199,0,0,2,0,0,1,2,2,https://static.resultadosconvzla.com/784821_932198_0164Acta0163.jpg,,,,,,
24,EDO. LA GUAIRA,1,MP. VARGAS,1142,PQ. CARLOS SOUBLETTE,240111026,2,411,0,193,206,0,3,2,4,0,0,0,3,https://static.resultadosconvzla.com/784821_705855_0163Acta0162.jpg,,,,,,
